NO,DOI,Selective_layer_thickness,Filler_size,Filler_concentration,Crosslinker_concentration,Organic_Hildebrand_solubility_parameter,Organic_molecular_volume,Mass_ratio(A/B),Effluent_type,Effective_area,Experimental_temperature,Downstream_pressure,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Total_flux,predicted
2154,10.1016/S0376-7388(02)00265-X,0.1,0.0,0.0,0.0,26.52,58.5,9.0,0,32.131649294911185,65.0,3.99,24.057754683085673,2.3280879592095296,-0.1167385275404072,-0.37176575035627396,-2.492351203247489,-2.618580280928283,-0.1443283089544346,-0.2574908282760371,2.086395375149412,-2.4821783501834833,0.25,0.27468862766235286
2140,10.1016/S0376-7388(96)00201-3,21.2,0.0,0.0,0.0,21.37,57.25,0.0309,0,10.2,25.0,1.33,-1.1818260754427294,-3.4155713414725737,0.35057562641250095,0.745955309118312,-0.7234045845640449,0.7542100475191177,0.23469303434186783,0.25290228923716807,0.9640260489591173,-0.21371868609121947,0.07400000000000001,0.09293859710872349
2141,10.1016/S0376-7388(96)00201-3,13.2,0.0,0.0,0.0,21.37,57.25,0.0309,0,10.2,25.0,1.33,-1.1818260754427294,-3.4155713414725737,0.35057562641250095,0.745955309118312,-0.7234045845640449,0.7542100475191177,0.23469303434186783,0.25290228923716807,0.9640260489591173,-0.21371868609121947,0.19500000000000003,0.17597216872164323
1323,10.1016/S0376-7388(99)00010-1,306.0,0.0,0.0,0.0,23.19,91.8,19.0,1,220.0,78.0,2.66,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.08999999999999998,0.10846267372857553
1324,10.1016/S0376-7388(99)00010-1,226.0,0.0,0.0,0.0,23.19,91.8,19.0,1,220.0,78.0,2.66,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.11999999999999998,0.10975087391240293
935,10.1016/S0376-7388(99)00361-0,45.0,0.0,0.0,0.0,21.37,57.25,9.0,0,22.1,40.0,2.66,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.037,0.05341839765348066
936,10.1016/S0376-7388(99)00361-0,45.0,0.0,0.0,0.0,21.37,57.25,9.0,0,22.1,50.0,2.66,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.053999999999999986,0.0740071244984346
937,10.1016/S0376-7388(99)00361-0,45.0,0.0,0.0,0.0,21.37,57.25,9.0,0,22.1,60.0,2.66,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.09199999999999997,0.08644205309366756
938,10.1016/S0376-7388(99)00361-0,45.0,0.0,0.0,0.0,21.37,57.25,9.0,0,22.1,70.0,2.66,-2.358771733388256,3.6596385390495545,-0.8453095667107677,-3.720884774363917,0.8028065795630861,0.2143602330796868,-0.1687997132455574,0.12865354647507904,0.13968890470307002,0.07097935390295299,0.138,0.1124744328390392
1200,10.1016/j.biortech.2003.08.003,54.78986584684178,0.0,0.0,0.0,26.52,58.5,49.0,1,2200.0,35.0,10.288523672055437,-1.1387829339681257,-3.089739955915485,-1.4720769047485018,0.8376482080954786,0.9587537150130785,-1.99662668053077,0.2535505247537129,0.5335120537118556,-0.49482993644999684,-0.14253711686340295,0.08999999999999998,0.08940356782519586
